   Compiling mamba-rs v0.6.9 (/root/mamba-ada-half-swizzle-force-20260906)
    Finished `release` profile [optimized] target(s) in 1.44s
     Running tests/gemm_bi_fixed_correctness.rs (/root/target-ada-half-swizzle-force-cuda128-20260906/release/deps/gemm_bi_fixed_correctness-e745b7cbbfaa93fe)

running 2 tests
test fixed_sm89_rna_wide_actual_auto_all_cells_prefix_views_and_graph_bits ... mamba-rs cache trace: Fixed arch=sm_89 key=53c404fc45b06ef3faf5ef8842f166da9fa77df7f2965f64f39c4aae608261af path=Some("/root/mamba-kcache-ada-half-swizzle-force-cuda128-20260906/mamba-kernels-v1-53c404fc45b06ef3faf5ef8842f166da9fa77df7f2965f64f39c4aae608261af.bin") source_len=688275
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=129 exceptional=true bias=true row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=255 exceptional=true bias=true row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=255 exceptional=true bias=true row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=256 exceptional=true bias=true row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=256 exceptional=true bias=true row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=257 exceptional=true bias=true row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=257 exceptional=true bias=true row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=257 exceptional=true bias=true row_offset=17 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=257 exceptional=true bias=true row_offset=17 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=4621 exceptional=true bias=true row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=4621 exceptional=true bias=true row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=6016 exceptional=true bias=true row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=6016 exceptional=true bias=true row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=6017 exceptional=true bias=true row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=6017 exceptional=true bias=true row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=6018 exceptional=true bias=true row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=6018 exceptional=true bias=true row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_a_boundary shape_m=4622 k=384 n=1928 view_m=1 exceptional=false bias=false row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_a_boundary shape_m=4622 k=384 n=1928 view_m=1 exceptional=false bias=false row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_a_boundary shape_m=4622 k=384 n=1928 view_m=16 exceptional=false bias=false row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_a_boundary shape_m=4622 k=384 n=1928 view_m=16 exceptional=false bias=false row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_a_boundary shape_m=4622 k=384 n=1928 view_m=17 exceptional=false bias=false row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_a_boundary shape_m=4622 k=384 n=1928 view_m=17 exceptional=false bias=false row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_a_boundary shape_m=4622 k=384 n=1928 view_m=4620 exceptional=false bias=false row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_a_boundary shape_m=4622 k=384 n=1928 view_m=4620 exceptional=false bias=false row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_a_boundary shape_m=4622 k=384 n=1928 view_m=4621 exceptional=false bias=false row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_a_boundary shape_m=4622 k=384 n=1928 view_m=4621 exceptional=false bias=false row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_a_boundary shape_m=4622 k=384 n=1928 view_m=4622 exceptional=false bias=false row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_a_boundary shape_m=4622 k=384 n=1928 view_m=4622 exceptional=false bias=false row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_a_boundary shape_m=4622 k=384 n=1928 view_m=4621 exceptional=false bias=false row_offset=1 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_a_boundary shape_m=4622 k=384 n=1928 view_m=4621 exceptional=false bias=false row_offset=1 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_a_boundary shape_m=4622 k=384 n=1928 view_m=1 exceptional=false bias=true row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_a_boundary shape_m=4622 k=384 n=1928 view_m=1 exceptional=false bias=true row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_a_boundary shape_m=4622 k=384 n=1928 view_m=16 exceptional=false bias=true row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_a_boundary shape_m=4622 k=384 n=1928 view_m=16 exceptional=false bias=true row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_a_boundary shape_m=4622 k=384 n=1928 view_m=17 exceptional=false bias=true row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_a_boundary shape_m=4622 k=384 n=1928 view_m=17 exceptional=false bias=true row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_a_boundary shape_m=4622 k=384 n=1928 view_m=4620 exceptional=false bias=true row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_a_boundary shape_m=4622 k=384 n=1928 view_m=4620 exceptional=false bias=true row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_a_boundary shape_m=4622 k=384 n=1928 view_m=4621 exceptional=false bias=true row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_a_boundary shape_m=4622 k=384 n=1928 view_m=4621 exceptional=false bias=true row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_a_boundary shape_m=4622 k=384 n=1928 view_m=4622 exceptional=false bias=true row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_a_boundary shape_m=4622 k=384 n=1928 view_m=4622 exceptional=false bias=true row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_a_boundary shape_m=4622 k=384 n=1928 view_m=4621 exceptional=false bias=true row_offset=1 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_a_boundary shape_m=4622 k=384 n=1928 view_m=4621 exceptional=false bias=true row_offset=1 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_a_boundary shape_m=4622 k=384 n=1928 view_m=1 exceptional=true bias=false row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_a_boundary shape_m=4622 k=384 n=1928 view_m=1 exceptional=true bias=false row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_a_boundary shape_m=4622 k=384 n=1928 view_m=16 exceptional=true bias=false row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_a_boundary shape_m=4622 k=384 n=1928 view_m=16 exceptional=true bias=false row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_a_boundary shape_m=4622 k=384 n=1928 view_m=17 exceptional=true bias=false row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_a_boundary shape_m=4622 k=384 n=1928 view_m=17 exceptional=true bias=false row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_a_boundary shape_m=4622 k=384 n=1928 view_m=4620 exceptional=true bias=false row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_a_boundary shape_m=4622 k=384 n=1928 view_m=4620 exceptional=true bias=false row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_a_boundary shape_m=4622 k=384 n=1928 view_m=4621 exceptional=true bias=false row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_a_boundary shape_m=4622 k=384 n=1928 view_m=4621 exceptional=true bias=false row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_a_boundary shape_m=4622 k=384 n=1928 view_m=4622 exceptional=true bias=false row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_a_boundary shape_m=4622 k=384 n=1928 view_m=4622 exceptional=true bias=false row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_a_boundary shape_m=4622 k=384 n=1928 view_m=4621 exceptional=true bias=false row_offset=1 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_a_boundary shape_m=4622 k=384 n=1928 view_m=4621 exceptional=true bias=false row_offset=1 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_a_boundary shape_m=4622 k=384 n=1928 view_m=1 exceptional=true bias=true row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_a_boundary shape_m=4622 k=384 n=1928 view_m=1 exceptional=true bias=true row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_a_boundary shape_m=4622 k=384 n=1928 view_m=16 exceptional=true bias=true row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_a_boundary shape_m=4622 k=384 n=1928 view_m=16 exceptional=true bias=true row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_a_boundary shape_m=4622 k=384 n=1928 view_m=17 exceptional=true bias=true row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_a_boundary shape_m=4622 k=384 n=1928 view_m=17 exceptional=true bias=true row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_a_boundary shape_m=4622 k=384 n=1928 view_m=4620 exceptional=true bias=true row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_a_boundary shape_m=4622 k=384 n=1928 view_m=4620 exceptional=true bias=true row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_a_boundary shape_m=4622 k=384 n=1928 view_m=4621 exceptional=true bias=true row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_a_boundary shape_m=4622 k=384 n=1928 view_m=4621 exceptional=true bias=true row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_a_boundary shape_m=4622 k=384 n=1928 view_m=4622 exceptional=true bias=true row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_a_boundary shape_m=4622 k=384 n=1928 view_m=4622 exceptional=true bias=true row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_a_boundary shape_m=4622 k=384 n=1928 view_m=4621 exceptional=true bias=true row_offset=1 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_a_boundary shape_m=4622 k=384 n=1928 view_m=4621 exceptional=true bias=true row_offset=1 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_b_boundary shape_m=4622 k=768 n=2304 view_m=1 exceptional=false bias=false row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_b_boundary shape_m=4622 k=768 n=2304 view_m=1 exceptional=false bias=false row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_b_boundary shape_m=4622 k=768 n=2304 view_m=16 exceptional=false bias=false row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_b_boundary shape_m=4622 k=768 n=2304 view_m=16 exceptional=false bias=false row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_b_boundary shape_m=4622 k=768 n=2304 view_m=17 exceptional=false bias=false row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_b_boundary shape_m=4622 k=768 n=2304 view_m=17 exceptional=false bias=false row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_b_boundary shape_m=4622 k=768 n=2304 view_m=4620 exceptional=false bias=false row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_b_boundary shape_m=4622 k=768 n=2304 view_m=4620 exceptional=false bias=false row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_b_boundary shape_m=4622 k=768 n=2304 view_m=4621 exceptional=false bias=false row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_b_boundary shape_m=4622 k=768 n=2304 view_m=4621 exceptional=false bias=false row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_b_boundary shape_m=4622 k=768 n=2304 view_m=4622 exceptional=false bias=false row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_b_boundary shape_m=4622 k=768 n=2304 view_m=4622 exceptional=false bias=false row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_b_boundary shape_m=4622 k=768 n=2304 view_m=4621 exceptional=false bias=false row_offset=1 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_b_boundary shape_m=4622 k=768 n=2304 view_m=4621 exceptional=false bias=false row_offset=1 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_b_boundary shape_m=4622 k=768 n=2304 view_m=1 exceptional=false bias=true row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_b_boundary shape_m=4622 k=768 n=2304 view_m=1 exceptional=false bias=true row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_b_boundary shape_m=4622 k=768 n=2304 view_m=16 exceptional=false bias=true row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_b_boundary shape_m=4622 k=768 n=2304 view_m=16 exceptional=false bias=true row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_b_boundary shape_m=4622 k=768 n=2304 view_m=17 exceptional=false bias=true row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_b_boundary shape_m=4622 k=768 n=2304 view_m=17 exceptional=false bias=true row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_b_boundary shape_m=4622 k=768 n=2304 view_m=4620 exceptional=false bias=true row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_b_boundary shape_m=4622 k=768 n=2304 view_m=4620 exceptional=false bias=true row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_b_boundary shape_m=4622 k=768 n=2304 view_m=4621 exceptional=false bias=true row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_b_boundary shape_m=4622 k=768 n=2304 view_m=4621 exceptional=false bias=true row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_b_boundary shape_m=4622 k=768 n=2304 view_m=4622 exceptional=false bias=true row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_b_boundary shape_m=4622 k=768 n=2304 view_m=4622 exceptional=false bias=true row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_b_boundary shape_m=4622 k=768 n=2304 view_m=4621 exceptional=false bias=true row_offset=1 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_b_boundary shape_m=4622 k=768 n=2304 view_m=4621 exceptional=false bias=true row_offset=1 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_b_boundary shape_m=4622 k=768 n=2304 view_m=1 exceptional=true bias=false row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_b_boundary shape_m=4622 k=768 n=2304 view_m=1 exceptional=true bias=false row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_b_boundary shape_m=4622 k=768 n=2304 view_m=16 exceptional=true bias=false row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_b_boundary shape_m=4622 k=768 n=2304 view_m=16 exceptional=true bias=false row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_b_boundary shape_m=4622 k=768 n=2304 view_m=17 exceptional=true bias=false row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_b_boundary shape_m=4622 k=768 n=2304 view_m=17 exceptional=true bias=false row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_b_boundary shape_m=4622 k=768 n=2304 view_m=4620 exceptional=true bias=false row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_b_boundary shape_m=4622 k=768 n=2304 view_m=4620 exceptional=true bias=false row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_b_boundary shape_m=4622 k=768 n=2304 view_m=4621 exceptional=true bias=false row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_b_boundary shape_m=4622 k=768 n=2304 view_m=4621 exceptional=true bias=false row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_b_boundary shape_m=4622 k=768 n=2304 view_m=4622 exceptional=true bias=false row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_b_boundary shape_m=4622 k=768 n=2304 view_m=4622 exceptional=true bias=false row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_b_boundary shape_m=4622 k=768 n=2304 view_m=4621 exceptional=true bias=false row_offset=1 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_b_boundary shape_m=4622 k=768 n=2304 view_m=4621 exceptional=true bias=false row_offset=1 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_b_boundary shape_m=4622 k=768 n=2304 view_m=1 exceptional=true bias=true row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_b_boundary shape_m=4622 k=768 n=2304 view_m=1 exceptional=true bias=true row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_b_boundary shape_m=4622 k=768 n=2304 view_m=16 exceptional=true bias=true row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_b_boundary shape_m=4622 k=768 n=2304 view_m=16 exceptional=true bias=true row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_b_boundary shape_m=4622 k=768 n=2304 view_m=17 exceptional=true bias=true row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_b_boundary shape_m=4622 k=768 n=2304 view_m=17 exceptional=true bias=true row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_b_boundary shape_m=4622 k=768 n=2304 view_m=4620 exceptional=true bias=true row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_b_boundary shape_m=4622 k=768 n=2304 view_m=4620 exceptional=true bias=true row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_b_boundary shape_m=4622 k=768 n=2304 view_m=4621 exceptional=true bias=true row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_b_boundary shape_m=4622 k=768 n=2304 view_m=4621 exceptional=true bias=true row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_b_boundary shape_m=4622 k=768 n=2304 view_m=4622 exceptional=true bias=true row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_b_boundary shape_m=4622 k=768 n=2304 view_m=4622 exceptional=true bias=true row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_b_boundary shape_m=4622 k=768 n=2304 view_m=4621 exceptional=true bias=true row_offset=1 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_b_boundary shape_m=4622 k=768 n=2304 view_m=4621 exceptional=true bias=true row_offset=1 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_c_boundary shape_m=4622 k=1928 n=384 view_m=1 exceptional=false bias=false row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_c_boundary shape_m=4622 k=1928 n=384 view_m=1 exceptional=false bias=false row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_c_boundary shape_m=4622 k=1928 n=384 view_m=16 exceptional=false bias=false row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_c_boundary shape_m=4622 k=1928 n=384 view_m=16 exceptional=false bias=false row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_c_boundary shape_m=4622 k=1928 n=384 view_m=17 exceptional=false bias=false row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_c_boundary shape_m=4622 k=1928 n=384 view_m=17 exceptional=false bias=false row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_c_boundary shape_m=4622 k=1928 n=384 view_m=4620 exceptional=false bias=false row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_c_boundary shape_m=4622 k=1928 n=384 view_m=4620 exceptional=false bias=false row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_c_boundary shape_m=4622 k=1928 n=384 view_m=4621 exceptional=false bias=false row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_c_boundary shape_m=4622 k=1928 n=384 view_m=4621 exceptional=false bias=false row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_c_boundary shape_m=4622 k=1928 n=384 view_m=4622 exceptional=false bias=false row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_c_boundary shape_m=4622 k=1928 n=384 view_m=4622 exceptional=false bias=false row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_c_boundary shape_m=4622 k=1928 n=384 view_m=4621 exceptional=false bias=false row_offset=1 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_c_boundary shape_m=4622 k=1928 n=384 view_m=4621 exceptional=false bias=false row_offset=1 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_c_boundary shape_m=4622 k=1928 n=384 view_m=1 exceptional=false bias=true row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_c_boundary shape_m=4622 k=1928 n=384 view_m=1 exceptional=false bias=true row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_c_boundary shape_m=4622 k=1928 n=384 view_m=16 exceptional=false bias=true row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_c_boundary shape_m=4622 k=1928 n=384 view_m=16 exceptional=false bias=true row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_c_boundary shape_m=4622 k=1928 n=384 view_m=17 exceptional=false bias=true row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_c_boundary shape_m=4622 k=1928 n=384 view_m=17 exceptional=false bias=true row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_c_boundary shape_m=4622 k=1928 n=384 view_m=4620 exceptional=false bias=true row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_c_boundary shape_m=4622 k=1928 n=384 view_m=4620 exceptional=false bias=true row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_c_boundary shape_m=4622 k=1928 n=384 view_m=4621 exceptional=false bias=true row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_c_boundary shape_m=4622 k=1928 n=384 view_m=4621 exceptional=false bias=true row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_c_boundary shape_m=4622 k=1928 n=384 view_m=4622 exceptional=false bias=true row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_c_boundary shape_m=4622 k=1928 n=384 view_m=4622 exceptional=false bias=true row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_c_boundary shape_m=4622 k=1928 n=384 view_m=4621 exceptional=false bias=true row_offset=1 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_c_boundary shape_m=4622 k=1928 n=384 view_m=4621 exceptional=false bias=true row_offset=1 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=hot_c_boundary shape_m=4622 k=1928 n=384 view_m=1 exceptional=true bias=false row_offset=0 output_offset=1 actual_auto=true
